date,code,shares_100m,exchange,source,quality,method
2012-07-02,159915,6.118039,深交所,https://stock.xueqiu.com/v5/stock/chart/kline.json,estimated,volume_turnover_inference
2012-07-02,159919,159.565869,深交所,https://stock.xueqiu.com/v5/stock/chart/kline.json,estimated,volume_turnover_inference
2012-07-02,510300,94.711877,上交所,https://query.sse.com.cn/commonQuery.do,official,exchange_disclosure
2012-07-03,159915,6.116379,深交所,https://stock.xueqiu.com/v5/stock/chart/kline.json,estimated,volume_turnover_inference
2012-07-03,159919,159.495542,深交所,https://stock.xueqiu.com/v5/stock/chart/kline.json,estimated,volume_turnover_inference
2012-07-03,510300,94.360875,上交所,https://query.sse.com.cn/commonQuery.do,official,exchange_disclosure
2012-07-04,159915,6.121415,深交所,https://stock.xueqiu.com/v5/stock/chart/kline.json,estimated,volume_turnover_inference
2012-07-04,159919,158.868299,深交所,https://stock.xueqiu.com/v5/stock/chart/kline.json,estimated,volume_turnover_inference
2012-07-04,510300,93.838877,上交所,https://query.sse.com.cn/commonQuery.do,official,exchange_disclosure
2012-07-05,159915,6.116565,深交所,https://stock.xueqiu.com/v5/stock/chart/kline.json,estimated,volume_turnover_inference
2012-07-05,159919,159.264043,深交所,https://stock.xueqiu.com/v5/stock/chart/kline.json,estimated,volume_turnover_inference
2012-07-05,510300,94.927877,上交所,https://query.sse.com.cn/commonQuery.do,official,exchange_disclosure
2012-07-06,159915,6.114109,深交所,https://stock.xueqiu.com/v5/stock/chart/kline.json,estimated,volume_turnover_inference
2012-07-06,159919,159.134206,深交所,https://stock.xueqiu.com/v5/stock/chart/kline.json,estimated,volume_turnover_inference
2012-07-06,510300,95.106877,上交所,https://query.sse.com.cn/commonQuery.do,official,exchange_disclosure
2012-07-09,159915,6.116570,深交所,https://stock.xueqiu.com/v5/stock/chart/kline.json,estimated,volume_turnover_inference
2012-07-09,159919,158.627081,深交所,https://stock.xueqiu.com/v5/stock/chart/kline.json,estimated,volume_turnover_inference
2012-07-09,510300,95.245222,上交所,https://query.sse.com.cn/commonQuery.do,official,exchange_disclosure
2012-07-10,159915,6.114397,深交所,https://stock.xueqiu.com/v5/stock/chart/kline.json,estimated,volume_turnover_inference
2012-07-10,159919,159.130318,深交所,https://stock.xueqiu.com/v5/stock/chart/kline.json,estimated,volume_turnover_inference
2012-07-10,510300,96.502877,上交所,https://query.sse.com.cn/commonQuery.do,official,exchange_disclosure
2012-07-11,159915,6.117535,深交所,https://stock.xueqiu.com/v5/stock/chart/kline.json,estimated,volume_turnover_inference
2012-07-11,159919,159.236072,深交所,https://stock.xueqiu.com/v5/stock/chart/kline.json,estimated,volume_turnover_inference
2012-07-11,510300,96.367877,上交所,https://query.sse.com.cn/commonQuery.do,official,exchange_disclosure
2012-07-12,159915,6.114564,深交所,https://stock.xueqiu.com/v5/stock/chart/kline.json,estimated,volume_turnover_inference
2012-07-12,159919,158.813761,深交所,https://stock.xueqiu.com/v5/stock/chart/kline.json,estimated,volume_turnover_inference
2012-07-12,510300,95.098877,上交所,https://query.sse.com.cn/commonQuery.do,official,exchange_disclosure
2012-07-13,159915,6.111050,深交所,https://stock.xueqiu.com/v5/stock/chart/kline.json,estimated,volume_turnover_inference
2012-07-13,159919,158.867734,深交所,https://stock.xueqiu.com/v5/stock/chart/kline.json,estimated,volume_turnover_inference
2012-07-13,510300,94.504877,上交所,https://query.sse.com.cn/commonQuery.do,official,exchange_disclosure
2012-07-16,159915,6.116884,深交所,https://stock.xueqiu.com/v5/stock/chart/kline.json,estimated,volume_turnover_inference
2012-07-16,159919,158.679409,深交所,https://stock.xueqiu.com/v5/stock/chart/kline.json,estimated,volume_turnover_inference
2012-07-16,510300,95.501876,上交所,https://query.sse.com.cn/commonQuery.do,official,exchange_disclosure
2012-07-17,159915,6.113325,深交所,https://stock.xueqiu.com/v5/stock/chart/kline.json,estimated,volume_turnover_inference
2012-07-17,159919,159.405760,深交所,https://stock.xueqiu.com/v5/stock/chart/kline.json,estimated,volume_turnover_inference
2012-07-17,510300,96.864878,上交所,https://query.sse.com.cn/commonQuery.do,official,exchange_disclosure
2012-07-18,159915,6.116299,深交所,https://stock.xueqiu.com/v5/stock/chart/kline.json,estimated,volume_turnover_inference
2012-07-18,159919,159.366250,深交所,https://stock.xueqiu.com/v5/stock/chart/kline.json,estimated,volume_turnover_inference
2012-07-18,510300,97.945977,上交所,https://query.sse.com.cn/commonQuery.do,official,exchange_disclosure
2012-07-19,159915,6.116337,深交所,https://stock.xueqiu.com/v5/stock/chart/kline.json,estimated,volume_turnover_inference
2012-07-19,159919,158.498945,深交所,https://stock.xueqiu.com/v5/stock/chart/kline.json,estimated,volume_turnover_inference
2012-07-19,510300,95.908877,上交所,https://query.sse.com.cn/commonQuery.do,official,exchange_disclosure
2012-07-20,159915,6.113510,深交所,https://stock.xueqiu.com/v5/stock/chart/kline.json,estimated,volume_turnover_inference
2012-07-20,159919,158.732883,深交所,https://stock.xueqiu.com/v5/stock/chart/kline.json,estimated,volume_turnover_inference
2012-07-20,510300,93.055877,上交所,https://query.sse.com.cn/commonQuery.do,official,exchange_disclosure
2012-07-23,159915,6.111319,深交所,https://stock.xueqiu.com/v5/stock/chart/kline.json,estimated,volume_turnover_inference
2012-07-23,159919,158.333986,深交所,https://stock.xueqiu.com/v5/stock/chart/kline.json,estimated,volume_turnover_inference
2012-07-23,510300,93.036877,上交所,https://query.sse.com.cn/commonQuery.do,official,exchange_disclosure
2012-07-24,159915,6.111871,深交所,https://stock.xueqiu.com/v5/stock/chart/kline.json,estimated,volume_turnover_inference
2012-07-24,159919,158.898957,深交所,https://stock.xueqiu.com/v5/stock/chart/kline.json,estimated,volume_turnover_inference
2012-07-24,510300,93.285824,上交所,https://query.sse.com.cn/commonQuery.do,official,exchange_disclosure
2012-07-25,159915,6.116520,深交所,https://stock.xueqiu.com/v5/stock/chart/kline.json,estimated,volume_turnover_inference
2012-07-25,159919,158.550098,深交所,https://stock.xueqiu.com/v5/stock/chart/kline.json,estimated,volume_turnover_inference
2012-07-25,510300,93.244877,上交所,https://query.sse.com.cn/commonQuery.do,official,exchange_disclosure
2012-07-26,159915,6.115577,深交所,https://stock.xueqiu.com/v5/stock/chart/kline.json,estimated,volume_turnover_inference
2012-07-26,159919,159.615514,深交所,https://stock.xueqiu.com/v5/stock/chart/kline.json,estimated,volume_turnover_inference
2012-07-26,510300,93.726877,上交所,https://query.sse.com.cn/commonQuery.do,official,exchange_disclosure
2012-07-27,159915,6.121408,深交所,https://stock.xueqiu.com/v5/stock/chart/kline.json,estimated,volume_turnover_inference
2012-07-27,159919,159.297375,深交所,https://stock.xueqiu.com/v5/stock/chart/kline.json,estimated,volume_turnover_inference
2012-07-27,510300,95.800877,上交所,https://query.sse.com.cn/commonQuery.do,official,exchange_disclosure
2012-07-30,159915,6.123650,深交所,https://stock.xueqiu.com/v5/stock/chart/kline.json,estimated,volume_turnover_inference
2012-07-30,159919,158.247059,深交所,https://stock.xueqiu.com/v5/stock/chart/kline.json,estimated,volume_turnover_inference
2012-07-30,510300,96.704159,上交所,https://query.sse.com.cn/commonQuery.do,official,exchange_disclosure
2012-07-31,159915,6.114613,深交所,https://stock.xueqiu.com/v5/stock/chart/kline.json,estimated,volume_turnover_inference
2012-07-31,159919,159.462970,深交所,https://stock.xueqiu.com/v5/stock/chart/kline.json,estimated,volume_turnover_inference
2012-07-31,510300,99.349588,上交所,https://query.sse.com.cn/commonQuery.do,official,exchange_disclosure
2012-08-01,159915,6.113889,深交所,https://stock.xueqiu.com/v5/stock/chart/kline.json,estimated,volume_turnover_inference
2012-08-01,159919,159.772805,深交所,https://stock.xueqiu.com/v5/stock/chart/kline.json,estimated,volume_turnover_inference
2012-08-01,510300,98.599877,上交所,https://query.sse.com.cn/commonQuery.do,official,exchange_disclosure
2012-08-02,159915,6.115101,深交所,https://stock.xueqiu.com/v5/stock/chart/kline.json,estimated,volume_turnover_inference
2012-08-02,159919,159.114832,深交所,https://stock.xueqiu.com/v5/stock/chart/kline.json,estimated,volume_turnover_inference
2012-08-02,510300,97.339877,上交所,https://query.sse.com.cn/commonQuery.do,official,exchange_disclosure
2012-08-03,159915,6.114978,深交所,https://stock.xueqiu.com/v5/stock/chart/kline.json,estimated,volume_turnover_inference
2012-08-03,159919,158.505835,深交所,https://stock.xueqiu.com/v5/stock/chart/kline.json,estimated,volume_turnover_inference
